Attrition,Age,Department,EmployeeNumber,Gender,HourlyRate,JobLevel,MaritalStatus,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
Yes,41,Sales,1,Female,94,2,Single,8,11,3,0,8,0,1,6,4,0
No,49,Research & Development,2,Male,61,2,Married,1,23,4,1,10,3,3,10,7,1
Yes,37,Research & Development,4,Male,92,1,Single,6,15,3,0,7,3,3,0,0,0
No,33,Research & Development,5,Female,56,1,Married,1,11,3,0,8,3,3,8,7,3
No,27,Research & Development,7,Male,40,1,Married,9,12,3,1,6,3,3,2,2,2
No,32,Research & Development,8,Male,79,1,Single,0,13,3,0,8,2,2,7,7,3
No,59,Research & Development,10,Female,81,1,Married,4,20,4,3,12,3,2,1,0,0
No,30,Research & Development,11,Male,67,1,Divorced,1,22,4,1,1,2,3,1,0,0
No,38,Research & Development,12,Male,44,3,Single,0,21,4,0,10,2,3,9,7,1
No,36,Research & Development,13,Male,94,2,Married,6,13,3,2,17,3,2,7,7,7
No,35,Research & Development,14,Male,84,1,Married,0,13,3,1,6,5,3,5,4,0
No,29,Research & Development,15,Female,49,2,Single,0,12,3,0,10,3,3,9,5,0
No,31,Research & Development,16,Male,31,1,Divorced,1,17,3,1,5,1,2,5,2,4
No,34,Research & Development,18,Male,93,1,Divorced,0,11,3,1,3,2,3,2,2,1
Yes,28,Research & Development,19,Male,50,1,Single,5,14,3,0,6,4,3,4,2,0
No,29,Research & Development,20,Female,51,3,Divorced,1,11,3,1,10,1,3,10,9,8
No,32,Research & Development,21,Male,80,1,Divorced,0,12,3,2,7,5,2,6,2,0
No,22,Research & Development,22,Male,96,1,Divorced,1,13,3,2,1,2,2,1,0,0
No,53,Sales,23,Female,78,4,Married,2,16,3,0,31,3,3,25,8,3
No,38,Research & Development,24,Male,45,1,Single,5,11,3,0,6,3,3,3,2,1
No,24,Research & Development,26,Female,96,2,Divorced,0,18,3,1,5,5,2,4,2,1
Yes,36,Sales,27,Male,82,1,Single,7,23,4,0,10,4,3,5,3,0
No,34,Research & Development,28,Female,53,3,Single,0,11,3,0,13,4,3,12,6,2
No,21,Research & Development,30,Male,96,1,Single,1,14,3,0,0,6,3,0,0,0
Yes,34,Research & Development,31,Male,83,1,Single,2,11,3,0,8,2,3,4,2,1
No,53,Research & Development,32,Female,58,5,Divorced,4,11,3,1,26,3,2,14,13,4
Yes,32,Research & Development,33,Female,72,1,Single,1,22,4,0,10,5,3,10,2,6
No,42,Sales,35,Male,48,2,Married,0,11,3,1,10,2,3,9,7,4
No,44,Research & Development,36,Female,42,3,Married,3,14,3,1,24,4,3,22,6,5
No,46,Sales,38,Female,83,5,Single,3,12,3,0,22,2,2,2,2,2
No,33,Research & Development,39,Male,78,1,Single,4,11,3,0,7,3,3,1,1,0
No,44,Research & Development,40,Male,41,2,Married,2,13,3,0,9,5,4,4,2,1
No,30,Research & Development,41,Male,83,1,Single,1,13,3,0,10,5,3,10,0,1
Yes,39,Sales,42,Male,56,2,Married,3,14,3,1,19,6,4,1,0,0
Yes,24,Research & Development,45,Male,61,1,Married,2,16,3,1,6,2,2,2,0,2
No,43,Research & Development,46,Female,72,1,Divorced,1,12,3,2,6,3,2,5,3,1
Yes,50,Sales,47,Male,86,1,Married,1,14,3,0,3,2,3,3,2,0
No,35,Sales,49,Female,97,1,Married,1,13,3,0,2,3,3,2,2,2
No,36,Research & Development,51,Female,82,1,Married,9,14,3,1,6,3,4,1,1,0
No,33,Sales,52,Female,42,2,Married,2,19,3,2,10,3,3,5,3,1
No,35,Research & Development,53,Male,75,1,Divorced,1,12,3,1,1,3,3,1,0,0
No,27,Research & Development,54,Female,33,1,Divorced,1,13,3,1,1,6,3,1,0,0
Yes,26,Research & Development,55,Male,48,1,Single,1,12,3,0,1,2,2,1,0,0
No,27,Sales,56,Male,37,3,Single,1,15,3,0,9,0,3,9,8,1
No,30,Research & Development,57,Female,58,2,Single,1,23,4,0,12,2,3,12,8,3
Yes,41,Research & Development,58,Female,49,5,Married,1,12,3,0,23,0,3,22,15,15
No,34,Sales,60,Male,72,2,Single,0,20,4,0,10,2,3,9,5,8
No,37,Research & Development,61,Male,73,1,Married,4,21,4,0,8,1,3,1,0,0
No,46,Sales,62,Male,98,2,Single,4,21,4,0,14,4,3,9,6,0
No,35,Research & Development,63,Male,36,1,Married,1,19,3,0,1,2,3,1,0,0
Yes,48,Research & Development,64,Male,98,3,Single,9,13,3,0,23,2,3,1,0,0
Yes,28,Research & Development,65,Male,50,1,Single,1,13,3,0,2,3,2,2,2,2
No,44,Sales,68,Female,75,2,Divorced,5,21,4,1,9,2,2,4,3,1
No,35,Research & Development,70,Male,79,3,Married,2,13,3,1,10,3,3,4,0,2
No,26,Sales,72,Female,47,2,Married,7,19,3,1,5,2,2,2,2,0
No,33,Research & Development,73,Female,98,3,Single,1,12,3,0,15,1,3,15,14,8
No,35,Sales,74,Male,71,3,Married,1,22,4,1,9,3,2,9,8,1
No,35,Research & Development,75,Female,30,1,Married,3,15,3,1,4,3,3,2,2,2
No,31,Research & Development,76,Male,48,2,Divorced,3,22,4,1,10,3,2,7,7,1
No,37,Research & Development,77,Male,51,2,Divorced,1,18,3,1,7,2,4,7,5,0
No,32,Research & Development,78,Male,33,2,Married,1,22,4,1,9,3,3,9,8,7
No,38,Research & Development,79,Female,50,2,Single,1,11,3,0,10,2,3,10,3,9
No,50,Research & Development,80,Female,43,5,Divorced,5,12,3,1,29,2,2,27,3,13
No,59,Sales,81,Female,99,3,Single,7,11,3,0,28,3,2,21,16,7
No,36,Research & Development,83,Female,59,3,Divorced,1,13,3,3,17,2,3,17,14,12
No,55,Research & Development,84,Female,33,4,Divorced,2,14,3,3,21,2,3,5,0,0
No,36,Research & Development,85,Male,95,2,Single,1,13,3,0,6,3,3,6,5,0
No,45,Research & Development,86,Male,59,3,Divorced,2,17,3,1,25,2,3,1,0,0
No,35,Research & Development,88,Male,79,1,Married,4,13,3,1,5,2,2,3,2,1
Yes,36,Research & Development,90,Male,79,1,Married,0,17,3,1,2,0,2,1,0,0
No,59,Sales,91,Female,57,2,Single,7,11,3,0,20,2,2,4,3,1
No,29,Research & Development,94,Male,76,1,Married,0,23,4,1,6,3,3,5,4,0
No,31,Research & Development,95,Male,87,1,Single,1,17,3,0,1,4,3,1,1,1
No,32,Research & Development,96,Male,66,2,Married,1,17,3,2,10,3,3,10,4,0
No,36,Research & Development,97,Female,55,1,Married,3,12,3,0,5,3,3,1,0,0
No,31,Research & Development,98,Female,61,2,Single,1,23,4,0,11,2,3,11,7,1
No,35,Sales,100,Male,32,2,Single,0,14,3,0,16,2,3,15,13,2
No,45,Research & Development,101,Male,52,3,Married,4,14,3,0,17,3,4,0,0,0
No,37,Research & Development,102,Male,30,3,Single,4,13,3,0,16,3,4,5,2,0
No,46,Human Resources,103,Male,80,2,Divorced,8,22,4,1,16,2,3,4,2,0
No,30,Research & Development,104,Male,55,2,Married,1,12,3,2,10,1,2,10,8,3
No,35,Research & Development,105,Male,30,1,Single,1,18,3,0,6,3,3,6,4,0
No,55,Sales,106,Male,70,3,Married,3,14,3,1,24,4,3,1,0,1
No,38,Research & Development,107,Female,79,2,Divorced,7,12,3,3,17,3,3,13,11,1
No,34,Research & Development,110,Male,94,2,Married,1,15,3,0,5,2,3,5,2,1
No,56,Research & Development,112,Male,49,3,Single,4,11,3,0,37,3,2,6,4,0
No,23,Sales,113,Male,62,1,Divorced,3,13,3,1,3,3,3,0,0,0
No,51,Research & Development,116,Male,96,1,Married,3,23,4,2,10,4,3,4,2,0
No,30,Research & Development,117,Male,99,2,Married,1,19,3,3,11,3,3,11,10,10
